lon lat elev
GSNP_CD -83.4947345649248 35.5653891943789 1910
GSNP_ND -83.4764200708406 35.5642567461179 1698
CW_118 -83.4341474801836 35.0510604771743 786
CW_218 -83.4341564958164 35.0484636926232 807
CW_318 -83.4341287803267 35.0472751813717 872
CW_427 -83.4599613886583 35.0385427748688 1101
CW_527 -83.4619054225371 35.0310500181046 1395
CW_LG -83.4576991830432 35.042545931006 1033
CW_UG -83.4612132520109 35.038407155356 1137
MH_F -82.5562915924093 35.8258984565803 705
MH_P -82.5507005830115 35.8221123241563 758
DF_HW -79.0964695522336 35.976564809272 166
DF_EW -79.0705636941136 36.0343000246774 179
DF_BW -79.0929676829481 35.9844074346709 170
DF_EE -79.0652258417678 36.0347730137632 153
GSNP_PK -83.0806904041209 35.587651689597 1422
HF_S -78.2174174697826 42.4649014756668 69
HF_BW -78.1757140760103 42.4824341282867 95
